Membership No  Date Joined  Active  
    33427      2018-1-11    no    
    78421      2020-8-19    no    
    64223      2016-9-19    no    
    76861      2015-2-17    no    
    83192      2019-9-14    no    
    96108      2015-2-4     no    
    43026      2015-1-17    no    
    55517      2016-6-20    no    
    30292      2016-2-21    no    
    25079      2020-5-15    no    
    48885      2018-5-3     no    
    45050      2016-5-19    no    
    69318      2018-2-21    no    
    46714      2017-2-18    no    
    98542      2015-10-15   no    
