Membership No  Date Joined  Active  
    97274      2017-12-5    yes   
    76861      2015-2-17    no    
    83192      2019-9-14    no    
    96108      2015-2-4     no    
    23527      2017-3-2     yes   
    43026      2015-1-17    no    
    55517      2016-6-20    no    
    57475      2017-10-24   yes   
    30292      2016-2-21    no    
    54006      2020-3-8     yes   
    25079      2020-5-15    no    
    84680      2015-8-2     yes   
    40827      2016-8-1     yes   
    32431      2017-4-2     yes   
    48885      2018-5-3     no    
    45050      2016-5-19    no    
    69318      2018-2-21    no    
    46714      2017-2-18    no    
    51406      2015-9-2     yes   
    98542      2015-10-15   no    
