Membership No  Date Joined  Active  
    90503      2019-12-8    no    
    80461      2015-2-21    no    
    71490      2019-4-22    no    
    35919      2017-6-1     no    
    21328      2020-2-8     no    
    51483      2018-12-5    no    
    45217      2016-2-18    no    
    49604      2019-5-5     no    
    80056      2015-2-16    no    
    88185      2019-4-25    no    
    29547      2020-2-23    no    
    42847      2020-8-10    no    
    63698      2018-2-24    no    
    18090      2019-12-2    no    
    23416      2019-11-25   no    
