Membership No  Date Joined  Active  
    33957      2017-2-6     yes   
    35919      2017-6-1     no    
    21328      2020-2-8     no    
    51483      2018-12-5    no    
    45217      2016-2-18    no    
    49604      2019-5-5     no    
    50246      2016-12-22   yes   
    64287      2018-11-7    yes   
    18339      2019-6-7     yes   
    89183      2017-9-5     yes   
    80056      2015-2-16    no    
    88185      2019-4-25    no    
    70918      2020-11-4    yes   
    29547      2020-2-23    no    
    42847      2020-8-10    no    
    63698      2018-2-24    no    
    18090      2019-12-2    no    
    96384      2016-1-23    yes   
    25426      2016-3-20    yes   
    23416      2019-11-25   no    
